Ward,Ward,Winner[36][37],Winner[36][37],Winner[36][37],Winner[36][37],Runner Up,Runner Up,Runner Up,Runner Up,Margin
#,Name,Candidate,Party,Party.1,Votes,Candidate,Party,Party.1,Votes,Margin
1,Narela (W),Sweta Khatri,,AAP,15929,Keshrani Khatri,,BJP,10960,4969
2,Bankner,Dinesh Kumar,,AAP,10765,Vinod Bhardwaj,,BJP,10387,378
3,Holambi Kalan (W),Neha,,AAP,15631,Archana,,BJP,7490,8141
4,Alipur,Yogesh Rana,,BJP,14929,Deep Kumar,,AAP,14838,91
5,Bakhtawarpur (W),Janta Devi,,BJP,12754,Babita,,AAP,10570,2184
6,Burari,Anil Kumar Tyagi,,BJP,18314,Ashish Tyagi,,AAP,18141,173
7,Kadipur (W),Munesh Devi,,AAP,19172,Urmila Rana,,BJP,14669,4503
8,Mukundpur,Gulab Singh Rathore,,BJP,15687,Ajay Kumar,,AAP,14929,758
9,Sant Nagar (W),Ruby Rawat,,AAP,15332,Rekha Rawat,,BJP,12289,3043
10,Jharoda,Gagan Chaudhary,,AAP,24626,Brijesh Kumar Rai,,BJP,19810,4816
11,Timarpur (W),Promila Gupta,,AAP,17336,Amarlata Sangwan,,BJP,11975,5361
12,Malka Ganj (SC-W),Rekha,,BJP,13855,Guddi Devi,,AAP,13373,482
13,Mukherjee Nagar,Raja Iqbal Singh,,BJP,14422,Antul Kohli,,AAP,13845,577
14,Dhirpur (W),Neha Aggarwal,,AAP,13269,Neelam Budhiraja,,BJP,11148,2121
15,Adarsh Nagar,Mukesh Goel,,AAP,12786,Anubhav Dhir,,BJP,12599,187
16,Azadpur (W),Suman Kumari,,BJP,13316,Mannu,,AAP,9779,3537
17,Bhalswa,Ajeet Singh Yadav,,AAP,10316,Lallu Singh,,BJP,9230,1086
18,Jahangir Puri (W),Timsy Sharma,,AAP,11086,Divya Jha,,BJP,9898,1188
19,Sarup Nagar,Joginder Singh Rana,,AAP,11865,Suresh Pandey,,BJP,10934,931
20,Samaypur Badli (W),Gayatri Yadav,,BJP,12019,Seema Yadav,,INC,8487,3532
21,Rohini-A,Pardeep Mittal,,AAP,14574,Naveen Garg,,BJP,13786,788
22,Rohini-B (W),Suman Anil Rana,,AAP,11837,Komal Vashisht,,BJP,11525,312
23,Rithala,Narender Kumar,,BJP,15053,Shubham Kumar Tripathi,,AAP,12029,3024
24,Vijay Vihar (W),Pooshpa Solanki,,AAP,17095,Kumari Amrita,,BJP,14152,2943
25,Budh Vihar,Amrit Jain,,AAP,11976,Rajpal Garg,,BJP,9301,2675
26,Pooth Kalan (W),Ritu Kumar,,AAP,16074,Kavita Solanki,,BJP,14778,1296
27,Begumpur,Jai Bhagwan Yadav,,BJP,15575,Dharmender Kumar,,AAP,13507,2068
28,Shahbaad Dairy (SC),Ram Chander,,AAP,10155,Santosh Kumar Bharti,,BJP,7023,3132
29,Pooth Khurd (W),Anju Devi,,BJP,13016,Umindera Devi,,AAP,11522,1494
30,Bawana,Pawan Kumar,,AAP,10564,Braham Prakash,,BJP,9930,724
31,Nangal Thakran (W),Babita,,BJP,11661,Manisha Shokeen,,AAP,9506,2155
32,Kanjhawala,Sandeep,,AAP,8532,Ravinder,,IND,6506,2026
33,Rani Khera (W),Manisha Jasbir Karala,,AAP,18366,Sushila,,BJP,16012,2354
34,Nangloi (SC-W),Hemlata,,AAP,13644,Babita Kumari,,BJP,10544,3100
35,Mundka,Gajendra Singh Daral,,IND,15492,Anil,,AAP,6144,9348
36,Nilothi (W),Babina Shokeen,,AAP,14658,Kuljeet Kaur,,BJP,9538,5126
37,Kirari,Ramesh Chand,,AAP,11087,Urmila Choudhary,,BJP,6355,4732
38,Prem Nagar (W),Neela Kumari,,BJP,14537,Munni Devi,,AAP,10012,4525
39,Mubarikpur,Rajesh Kumar,,AAP,16832,Ramdayal Mahto,,BJP,13757,3075
40,Nithari (W),Mamta Gupta,,AAP,11299,Sona Choudhary,,BJP,10524,775
41,Aman Vihar,Ravinder Bharadwaj,,AAP,12196,Narender Kumar,,BJP,11474,722
42,Mangol Puri (SC),Rajesh Kumar,,AAP,12320,Shashi Kapoor,,BJP,10055,2265
43,Sultanpuri-A (SC-W),Bobi,,AAP,14821,Varuna Dhaka,,INC,8107,6714
44,Sultanpuri-B (SC),Daulat,,AAP,15760,Hukum Singh,,BJP,10997,4763
45,Jawalapuri (SC-W),Santosh Devi,,AAP,13263,Bimla,,BJP,10360,2903
46,Nangloi Jat (W),Poonam Saini,,BJP,12168,Vijay Laxmi,,AAP,10614,1554
47,Nihal Vihar,Mandeep Singh,,INC,12747,Ashok Bhardwaj,,AAP,12181,566
48,Guru Harkishan Nagar (W),Monika Goyal,,BJP,10694,Shaveta Khera,,AAP,10319,375
49,Mangolpuri-A (SC),Dharam Rakshak,,AAP,15171,Ashok Kumar,,BJP,11700,3471
50,Mangolpuri-B (SC-W),Suman,,AAP,16400,Rajeshwari,,BJP,9703,6697
51,Rohini-C,Dharambir Sharma,,BJP,11969,Anil Mittal,,AAP,11246,723
52,Rohini-F (W),Ritu Goel,,BJP,17302,Rekha Goel,,AAP,10021,7281
53,Rohini-E,Pravesh Wahi,,BJP,15881,Kuldip Mittal,,AAP,7846,8035
54,Rohini-D (W),Smita,,BJP,15584,Anupriya Mishra,,AAP,13696,1888
55,Shalimar Bagh-A,Jalaj Kumar,,AAP,11553,Sujeet Thakur,,BJP,8768,2785
56,Shalimar Bagh-B (W),Rekha Gupta,,BJP,19447,Ishupreet Kaur Gujral,,AAP,11457,7990
57,Pitam Pura,Amit Nagpal,,BJP,17191,Sanju Jain,,AAP,13366,3825
58,Saraswati Vihar (W),Shikha Bhardwaj,,BJP,13167,Urmila Gupta,,AAP,10017,3150
59,Paschim Vihar,Vineet Vohra,,BJP,12199,Shalu Duggal,,AAP,10155,2044
60,Rani Bagh (W),Jyoti Aggarwal,,BJP,10346,Mithlesh Pathak,,AAP,8959,1387
61,Kohat Enclave,Ajay Ravi Hans,,BJP,15195,N. Raja,,AAP,10549,4646
62,Shakur Pur (SC),Kishan Lal,,BJP,12265,Ashok Kumar,,AAP,12161,104
63,Tri Nagar (W),Meenu Goel,,BJP,13900,Neetu Yadav,,AAP,8597,5303
64,Keshav Puram,Yogesh Verma,,BJP,12200,Vikas Goel,,AAP,9804,2396
65,Ashok Vihar (W),Poonam Sharma,,BJP,9995,Reeta Khari,,AAP,9839,156
66,Wazir Pur (SC-W),Chitra Vidyarthi,,AAP,15987,Sonia,,BJP,13291,2696
67,Sangam Park (SC),Sushil,,BJP,7039,Ravi Shankar,,AAP,6809,230
68,Model Town,Vikesh Sethi,,BJP,13896,Nathu Ram Nagar,,AAP,12069,1827
69,Kamla Nagar (W),Renu Aggarwal,,BJP,14144,Kiran Gupta Sethi,,AAP,9795,4349
70,Shastri Nagar,Manoj Kumar Jindal,,BJP,23413,Babita,,AAP,11204,12209
71,Kishan Ganj (SC-W),Pooja,,AAP,13728,Geeta Devi,,BJP,10256,3472
72,Sadar Bazar (W),Usha Sharma,,AAP,13770,Pinki Jain,,BJP,9037,4733
